spectrum_id,compound_name,CAS_number,adhesive_class,spectral_type,wavenumber_range,measurement_conditions,instrument,baseline_correction_method,source_database,source_doi,Q_SNR,Q_res,Q_base,Q_peak,Q_total,qc_disposition,data_quality_notes
SPEC-00745,Octamethylcyclotetrasiloxane,556-67-2,Silicone,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,Rubberband,NIST WebBook,10.9199/2ff0ccc8,0.925,0.722,0.733,0.634,0.778,ACCEPT,
SPEC-00941,Methylene diphenyl diisocyanate,101-68-8,Polyurethane,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,ALS,SDBS,10.6952/5b5d7977,0.809,0.668,0.683,0.627,0.712,FLAG,
SPEC-00559,Novolac epoxy,28064-14-4,Epoxy,Raman,200-3500 cm-1,"Ambient, 785nm laser",Bruker Senterra II,Polynomial (3rd order),SDBS,10.2702/10782b95,0.654,0.603,0.581,0.764,0.649,FLAG,
SPEC-00754,Methyltrimethoxysilane,1185-55-3,Silicone,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,ALS,SpectraBase,10.9090/640c7a3b,0.681,0.845,0.686,0.887,0.764,ACCEPT,
SPEC-00334,Nitrile rubber,9003-18-3,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Renishaw inVia,Rubberband,Open SPECY,10.7361/abc82c99,0.659,0.799,0.683,0.963,0.76,ACCEPT,
SPEC-00231,Polybutadiene,9003-17-2,Rubber-based,IR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,SNIP,SpectraBase,10.9123/1590b020,0.747,0.72,0.902,0.744,0.771,ACCEPT,
SPEC-00370,Hydrogenated rosin,65997-06-0,Hot-melt,IR,650-4000 cm-1,"23C, dry air",Thermo Nicolet iS50,ALS,NIST WebBook,10.3913/d5c3455d,0.9,0.875,0.965,0.653,0.857,ACCEPT,
SPEC-00174,Methyl methacrylate,80-62-6,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",Horiba LabRAM HR,Polynomial (3rd order),SDBS,10.9446/106b8627,0.698,0.733,0.763,0.783,0.737,FLAG,
SPEC-00718,Polydimethylsiloxane,63148-62-9,Silicone,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,SNIP,NIST WebBook,10.9516/f17de25f,0.881,0.857,0.956,0.623,0.838,ACCEPT,
SPEC-00225,Natural rubber,9006-04-6,Rubber-based,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,Polynomial (3rd order),Open SPECY,10.6347/8661c64b,0.944,0.736,0.896,0.982,0.89,ACCEPT,
SPEC-00723,Octamethylcyclotetrasiloxane,556-67-2,Silicone,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,ALS,KnowItAll,10.9314/2bc788de,0.798,0.802,0.879,0.937,0.843,ACCEPT,
SPEC-00483,Polypropylene wax,9003-07-0,Hot-melt,Raman,200-3500 cm-1,"Ambient, 785nm laser",Horiba LabRAM HR,Polynomial (3rd order),NIST WebBook,10.7776/d5313aa1,0.922,0.729,0.966,0.636,0.825,ACCEPT,
SPEC-00671,Phenyltrimethoxysilane,2996-92-1,Silicone,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,SNIP,NIST WebBook,10.4747/96e3c654,0.729,0.979,0.965,0.859,0.865,ACCEPT,
SPEC-00859,Butyl cyanoacrylate,6606-65-1,Cyanoacrylate,Raman,200-3500 cm-1,"25C, N2 purge",Thermo DXR3,ALS,PubChem,10.9015/9fcef1e4,0.871,0.778,0.555,0.647,0.74,FLAG,
SPEC-00394,Polypropylene wax,9003-07-0,Hot-melt,IR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,SNIP,KnowItAll,10.3200/e4468eab,0.736,0.689,0.883,0.774,0.761,ACCEPT,
SPEC-00513,Epichlorohydrin,106-89-8,Epoxy,IR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,SNIP,SDBS,10.2063/601dbb06,0.763,0.959,0.919,0.903,0.871,ACCEPT,
SPEC-00726,Phenyltrimethoxysilane,2996-92-1,Silicone,Raman,200-3500 cm-1,"Ambient, 785nm laser",Bruker Senterra II,ALS,NIST WebBook,10.7974/2f46ab93,0.854,0.929,0.713,0.639,0.802,ACCEPT,
SPEC-00614,Bisphenol F epoxy,2095-03-6,Epoxy,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,SNIP,KnowItAll,10.6756/3b1429a7,0.901,0.771,0.724,0.605,0.774,ACCEPT,
SPEC-00795,2-Methoxyethyl cyanoacrylate,27816-23-5,Cyanoacrylate,FTIR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,ALS,Open SPECY,10.5512/035187e4,0.851,0.724,0.641,0.887,0.784,ACCEPT,
SPEC-00093,Butyl acrylate,141-32-2,Acrylic/PSA,FTIR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,ALS,NIST WebBook,10.7511/8b7065f6,0.814,0.63,0.889,0.69,0.758,ACCEPT,
SPEC-00908,Toluene diisocyanate,26471-62-5,Polyurethane,Raman,200-3500 cm-1,"Ambient, 785nm laser",Bruker Senterra II,Rubberband,SpectraBase,10.4094/dbd3aa53,0.966,0.637,0.632,0.674,0.759,ACCEPT,
SPEC-00179,Ethyl acrylate,140-88-5,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",Renishaw inVia,Polynomial (3rd order),SpectraBase,10.8531/94d8d630,0.846,0.999,0.765,0.751,0.849,ACCEPT,
SPEC-00369,Polyethylene wax,9002-88-4,Hot-melt,FTIR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,Rubberband,SDBS,10.5897/fc869b74,0.932,0.655,0.821,0.955,0.845,ACCEPT,
SPEC-00319,Polybutadiene,9003-17-2,Rubber-based,Raman,200-3500 cm-1,"Ambient, 785nm laser",WITec alpha300,ALS,PubChem,10.9561/73cec74d,0.843,0.943,0.784,0.967,0.881,ACCEPT,
SPEC-00550,Epichlorohydrin,106-89-8,Epoxy,FTIR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,SNIP,KnowItAll,10.1447/78203f02,0.671,0.789,0.626,0.621,0.681,FLAG,
SPEC-00853,2-Methoxyethyl cyanoacrylate,27816-23-5,Cyanoacrylate,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Horiba LabRAM HR,Polynomial (3rd order),Open SPECY,10.7407/599f31c9,0.787,0.769,0.763,0.739,0.768,ACCEPT,
SPEC-00347,Chloroprene rubber,9010-98-4,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,SNIP,PubChem,10.1790/6d7d0146,0.667,0.998,0.848,0.861,0.825,ACCEPT,
SPEC-00895,Hexamethylene diisocyanate,822-06-0,Polyurethane,FTIR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,Polynomial (3rd order),SpectraBase,10.6426/897e63a9,0.757,0.639,0.556,0.821,0.7,FLAG,
SPEC-00037,Ethyl acrylate,140-88-5,Acrylic/PSA,FTIR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,SNIP,SDBS,10.4228/396719ab,0.739,0.884,0.551,0.97,0.784,ACCEPT,
SPEC-00939,Hexamethylene diisocyanate,822-06-0,Polyurethane,Raman,200-3500 cm-1,"25C, N2 purge",Renishaw inVia,Rubberband,NIST WebBook,10.7350/2873de17,0.752,0.849,0.973,0.616,0.793,ACCEPT,
SPEC-00635,Octamethylcyclotetrasiloxane,556-67-2,Silicone,FTIR,650-4000 cm-1,"Ambient, KBr pellet",PerkinElmer Spectrum Two,Polynomial (3rd order),Open SPECY,10.5646/54a83598,0.751,0.889,0.587,0.797,0.762,ACCEPT,
SPEC-00715,Vinyltrimethoxysilane,2768-02-7,Silicone,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,SNIP,KnowItAll,10.5021/c15f41ee,0.827,0.634,0.718,0.902,0.772,ACCEPT,
SPEC-00748,Octamethylcyclotetrasiloxane,556-67-2,Silicone,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,ALS,SDBS,10.2145/7aab5c6a,0.724,0.936,0.677,0.665,0.756,ACCEPT,
SPEC-00498,Novolac epoxy,28064-14-4,Epoxy,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,Rubberband,Open SPECY,10.9051/dd4835d9,0.946,0.788,0.842,0.674,0.831,ACCEPT,
SPEC-00727,Polydimethylsiloxane,63148-62-9,Silicone,Raman,200-3500 cm-1,"Ambient, 785nm laser",Horiba LabRAM HR,SNIP,NIST WebBook,10.9622/e0f00bee,0.799,0.652,0.647,0.631,0.698,FLAG,
SPEC-00058,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,IR,650-4000 cm-1,"23C, dry air",Agilent Cary 630,Polynomial (3rd order),KnowItAll,10.5232/beaf95be,0.768,0.798,0.696,0.795,0.766,ACCEPT,
SPEC-00921,Polytetramethylene glycol,25190-06-1,Polyurethane,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,SNIP,SpectraBase,10.7278/6a1b70cc,0.928,0.733,0.911,0.862,0.863,ACCEPT,
SPEC-00651,Vinyltrimethoxysilane,2768-02-7,Silicone,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Polynomial (3rd order),NIST WebBook,10.2506/4cd47070,0.667,0.998,0.731,0.69,0.767,ACCEPT,
SPEC-00155,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",WITec alpha300,Rubberband,SpectraBase,10.5678/454aa9f2,0.97,0.647,0.899,0.882,0.857,ACCEPT,
SPEC-00293,Polybutadiene,9003-17-2,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,SNIP,NIST WebBook,10.9907/a507d6f6,0.698,0.68,0.948,0.81,0.766,ACCEPT,
SPEC-00645,Polydimethylsiloxane,63148-62-9,Silicone,IR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,ALS,KnowItAll,10.5660/5287c727,0.787,0.798,0.987,0.847,0.842,ACCEPT,
SPEC-00235,Polybutadiene,9003-17-2,Rubber-based,FTIR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,Polynomial (3rd order),Open SPECY,10.9180/80fade9c,0.929,0.933,0.581,0.939,0.862,ACCEPT,
SPEC-00419,Polyamide resin,63428-84-2,Hot-melt,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Bruker Vertex 70,ALS,Open SPECY,10.4281/8ccff8cd,0.68,0.71,0.73,0.868,0.735,FLAG,
SPEC-00674,Vinyltrimethoxysilane,2768-02-7,Silicone,IR,650-4000 cm-1,"25C, N2 purge",PerkinElmer Spectrum Two,SNIP,SpectraBase,10.5636/8735fdba,0.911,0.753,0.744,0.683,0.793,ACCEPT,
SPEC-00454,Hydrogenated rosin,65997-06-0,Hot-melt,Raman,200-3500 cm-1,"25C, N2 purge",Horiba LabRAM HR,SNIP,PubChem,10.2998/9e3fa40b,0.815,0.677,0.929,0.927,0.826,ACCEPT,
SPEC-00862,Polytetramethylene glycol,25190-06-1,Polyurethane,IR,650-4000 cm-1,"25C, N2 purge",JASCO FT/IR-6600,Rubberband,SpectraBase,10.2922/dc41d37e,0.839,0.928,0.843,0.901,0.874,ACCEPT,
SPEC-00180,Isobutyl methacrylate,97-86-9,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,SNIP,KnowItAll,10.5735/d878407e,0.717,0.699,0.801,0.69,0.724,FLAG,
SPEC-00612,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,ALS,KnowItAll,10.4206/cd528310,0.863,0.678,0.787,0.913,0.812,ACCEPT,
SPEC-00387,Hydrogenated rosin,65997-06-0,Hot-melt,IR,650-4000 cm-1,"Ambient, KBr pellet",PerkinElmer Spectrum Two,ALS,Open SPECY,10.7249/1dc001a4,0.687,0.915,0.686,0.635,0.733,FLAG,
SPEC-00490,Bisphenol F epoxy,2095-03-6,Epoxy,IR,650-4000 cm-1,"23C, dry air",Thermo Nicolet iS50,Polynomial (3rd order),SpectraBase,10.9673/3dfbb304,0.825,0.783,0.967,0.609,0.8,ACCEPT,
SPEC-00156,2-Ethylhexyl acrylate,103-11-7,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",Horiba LabRAM HR,ALS,PubChem,10.6236/f69e88a2,0.948,0.781,0.954,0.778,0.873,ACCEPT,
SPEC-00329,Polyisoprene,9003-31-0,Rubber-based,Raman,200-3500 cm-1,"Ambient, 785nm laser",Renishaw inVia,Rubberband,NIST WebBook,10.1145/ba12ff86,0.878,0.805,0.939,0.987,0.894,ACCEPT,
SPEC-00317,Polybutadiene,9003-17-2,Rubber-based,Raman,200-3500 cm-1,"Ambient, 785nm laser",Horiba LabRAM HR,ALS,SpectraBase,10.1699/27127a19,0.711,0.994,0.987,0.923,0.879,ACCEPT,
SPEC-00729,Methyltrimethoxysilane,1185-55-3,Silicone,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,SNIP,SDBS,10.2934/0dd04392,0.82,0.783,0.986,0.805,0.841,ACCEPT,
SPEC-00308,Styrene-butadiene rubber,9003-55-8,Rubber-based,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,Rubberband,PubChem,10.2215/5d8967ee,0.93,0.613,0.559,0.704,0.731,FLAG,
SPEC-00844,Butyl cyanoacrylate,6606-65-1,Cyanoacrylate,Raman,200-3500 cm-1,"25C, N2 purge",Renishaw inVia,SNIP,Open SPECY,10.3016/a8c1079f,0.966,0.907,0.649,0.703,0.835,ACCEPT,
SPEC-00736,Methyltrimethoxysilane,1185-55-3,Silicone,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Horiba LabRAM HR,Rubberband,SDBS,10.3028/c1bc3c1b,0.898,0.829,0.908,0.883,0.88,ACCEPT,
SPEC-00923,Hexamethylene diisocyanate,822-06-0,Polyurethane,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Renishaw inVia,Polynomial (3rd order),SpectraBase,10.2804/82dd3287,0.651,0.998,0.558,0.823,0.754,ACCEPT,
SPEC-00607,Bisphenol F epoxy,2095-03-6,Epoxy,Raman,200-3500 cm-1,"25C, N2 purge",Renishaw inVia,Rubberband,KnowItAll,10.7056/664ac355,0.733,0.616,0.692,0.651,0.679,FLAG,
SPEC-00593,Cycloaliphatic epoxy,2386-87-0,Epoxy,Raman,200-3500 cm-1,"Ambient, 785nm laser",Renishaw inVia,SNIP,Open SPECY,10.1399/5971e800,1.0,0.606,0.851,0.665,0.805,ACCEPT,
SPEC-00687,Aminopropyltriethoxysilane,919-30-2,Silicone,IR,650-4000 cm-1,"25C, N2 purge",JASCO FT/IR-6600,ALS,SDBS,10.3118/59183b65,0.764,0.893,0.88,0.983,0.863,ACCEPT,
SPEC-00553,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,IR,650-4000 cm-1,"25C, N2 purge",PerkinElmer Spectrum Two,SNIP,Open SPECY,10.7277/6825bbfa,0.989,0.838,0.92,0.935,0.927,ACCEPT,
SPEC-00242,Chloroprene rubber,9010-98-4,Rubber-based,IR,650-4000 cm-1,"Ambient, KBr pellet",PerkinElmer Spectrum Two,ALS,SpectraBase,10.8080/d3e3a2b0,0.799,0.785,0.909,0.852,0.828,ACCEPT,
SPEC-00127,Isobutyl methacrylate,97-86-9,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,ALS,Open SPECY,10.7697/0c44a0a1,0.833,0.844,0.714,0.967,0.839,ACCEPT,
SPEC-00475,Hydrogenated rosin,65997-06-0,Hot-melt,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,Rubberband,Open SPECY,10.6827/8fe6f1ef,0.829,0.828,0.807,0.638,0.786,ACCEPT,
SPEC-00001,Acrylic acid,79-10-7,Acrylic/PSA,IR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,ALS,SDBS,10.2424/83c8b5ac,0.736,0.656,0.596,0.896,0.72,FLAG,
SPEC-00894,Polycaprolactone diol,36890-68-3,Polyurethane,IR,650-4000 cm-1,"25C, N2 purge",Bruker Vertex 70,Polynomial (3rd order),PubChem,10.8059/089d4183,0.911,0.685,0.762,0.963,0.835,ACCEPT,
SPEC-00491,Cycloaliphatic epoxy,2386-87-0,Epoxy,FTIR,650-4000 cm-1,"23C, dry air",Agilent Cary 630,ALS,SpectraBase,10.9212/1c5b5500,0.705,0.739,0.708,0.85,0.743,FLAG,
SPEC-00562,Triglycidyl isocyanurate,2451-62-9,Epoxy,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,Rubberband,Open SPECY,10.6298/5290c57d,0.881,0.63,0.754,0.998,0.816,ACCEPT,
SPEC-00311,Natural rubber,9006-04-6,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,SNIP,PubChem,10.6911/5fa43fe1,0.684,0.757,0.797,0.796,0.747,FLAG,
SPEC-00451,Polyethylene wax,9002-88-4,Hot-melt,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,Polynomial (3rd order),SpectraBase,10.2675/225afd92,0.716,0.608,0.572,0.814,0.68,FLAG,
SPEC-00937,Polytetramethylene glycol,25190-06-1,Polyurethane,Raman,200-3500 cm-1,"Ambient, 785nm laser",Horiba LabRAM HR,ALS,SpectraBase,10.3482/c962b7eb,0.929,0.791,0.941,0.615,0.834,ACCEPT,
SPEC-00359,Polyester hot-melt,25038-59-9,Hot-melt,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,Rubberband,SpectraBase,10.1894/6d3fdaa4,0.904,0.793,0.849,0.857,0.856,ACCEPT,
SPEC-00528,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,IR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,Rubberband,KnowItAll,10.6218/9e160645,0.655,0.849,0.781,0.683,0.734,FLAG,
SPEC-00630,Phenyltrimethoxysilane,2996-92-1,Silicone,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",JASCO FT/IR-6600,ALS,NIST WebBook,10.1168/60ab8c76,0.671,0.648,0.664,0.626,0.655,FLAG,
SPEC-00220,Natural rubber,9006-04-6,Rubber-based,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",JASCO FT/IR-6600,SNIP,NIST WebBook,10.1519/d8f00b74,0.997,0.69,0.858,0.939,0.881,ACCEPT,
SPEC-00566,Cycloaliphatic epoxy,2386-87-0,Epoxy,Raman,200-3500 cm-1,"Ambient, 785nm laser",Horiba LabRAM HR,SNIP,PubChem,10.9444/499d6d04,0.787,0.661,0.698,0.757,0.732,FLAG,
SPEC-00583,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Horiba LabRAM HR,ALS,Open SPECY,10.1709/d9ec983c,0.876,0.714,0.746,0.734,0.781,ACCEPT,
SPEC-00073,Methyl acrylate,96-33-3,Acrylic/PSA,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,SNIP,KnowItAll,10.7561/ea77269b,0.885,0.943,0.698,0.877,0.861,ACCEPT,
SPEC-00234,Polybutadiene,9003-17-2,Rubber-based,IR,650-4000 cm-1,"25C, N2 purge",PerkinElmer Spectrum Two,ALS,SpectraBase,10.9939/5f576dab,0.748,0.914,0.714,0.973,0.828,ACCEPT,
SPEC-00946,Hexamethylene diisocyanate,822-06-0,Polyurethane,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Horiba LabRAM HR,SNIP,PubChem,10.3953/2c0a8b68,0.813,0.857,0.955,0.786,0.847,ACCEPT,
SPEC-00926,Polycaprolactone diol,36890-68-3,Polyurethane,Raman,200-3500 cm-1,"25C, N2 purge",Horiba LabRAM HR,ALS,SpectraBase,10.6984/e29ecaee,0.854,0.791,0.817,0.663,0.793,ACCEPT,
SPEC-00846,Octyl cyanoacrylate,16493-40-6,Cyanoacrylate,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,ALS,PubChem,10.6574/6571e545,0.933,0.689,0.602,0.635,0.746,FLAG,
SPEC-00543,Bisphenol F epoxy,2095-03-6,Epoxy,FTIR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,ALS,KnowItAll,10.3056/840e9ef4,0.844,0.937,0.712,0.767,0.825,ACCEPT,
SPEC-00162,Acrylic acid,79-10-7,Acrylic/PSA,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Horiba LabRAM HR,Rubberband,SDBS,10.9740/cf90af10,0.719,0.983,0.674,0.85,0.802,ACCEPT,
SPEC-00324,Polyisoprene,9003-31-0,Rubber-based,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,ALS,Open SPECY,10.8937/58caf5be,0.905,0.842,0.59,0.777,0.801,ACCEPT,
SPEC-00389,Hydrogenated rosin,65997-06-0,Hot-melt,IR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,Rubberband,SDBS,10.2394/96bd3d2c,0.699,0.617,0.808,0.758,0.712,FLAG,
SPEC-00877,Isophorone diisocyanate,4098-71-9,Polyurethane,IR,650-4000 cm-1,"25C, N2 purge",Agilent Cary 630,ALS,Open SPECY,10.1227/cc130b0d,0.83,0.999,0.95,0.879,0.906,ACCEPT,
SPEC-00599,Novolac epoxy,28064-14-4,Epoxy,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,SNIP,Open SPECY,10.9215/8b702522,0.888,0.711,0.579,0.738,0.752,ACCEPT,
SPEC-00376,Polyamide resin,63428-84-2,Hot-melt,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,SNIP,PubChem,10.7180/f3c7aa95,0.994,0.63,0.983,0.894,0.881,ACCEPT,
SPEC-00762,Octyl cyanoacrylate,16493-40-6,Cyanoacrylate,IR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,ALS,SpectraBase,10.2194/a0a3b805,0.733,0.736,0.574,0.733,0.702,FLAG,
SPEC-00529,Bisphenol F epoxy,2095-03-6,Epoxy,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",JASCO FT/IR-6600,SNIP,PubChem,10.3131/c9ad5425,0.71,0.725,0.952,0.816,0.783,ACCEPT,
SPEC-00002,Ethyl acrylate,140-88-5,Acrylic/PSA,IR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,Rubberband,NIST WebBook,10.9928/e6b81ea5,0.731,0.841,0.803,0.886,0.804,ACCEPT,
SPEC-00555,Triglycidyl isocyanurate,2451-62-9,Epoxy,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,Polynomial (3rd order),Open SPECY,10.7390/354af9d7,0.755,0.898,0.889,0.813,0.829,ACCEPT,
SPEC-00537,Triglycidyl isocyanurate,2451-62-9,Epoxy,IR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,SNIP,Open SPECY,10.3886/01037402,0.69,0.838,0.696,0.639,0.718,FLAG,
SPEC-00749,Octamethylcyclotetrasiloxane,556-67-2,Silicone,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,Polynomial (3rd order),Open SPECY,10.4454/9d942582,0.693,0.656,0.8,0.712,0.709,FLAG,
SPEC-00658,Octamethylcyclotetrasiloxane,556-67-2,Silicone,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Polynomial (3rd order),PubChem,10.1906/fbaa979d,0.843,0.858,0.569,0.889,0.801,ACCEPT,
SPEC-00105,Methyl acrylate,96-33-3,Acrylic/PSA,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Rubberband,Open SPECY,10.2624/6e6ae9fd,0.783,0.839,0.683,0.802,0.781,ACCEPT,
SPEC-00501,Triglycidyl isocyanurate,2451-62-9,Epoxy,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,SNIP,NIST WebBook,10.1630/e796efb3,0.864,0.897,0.817,0.81,0.852,ACCEPT,
SPEC-00453,Polypropylene wax,9003-07-0,Hot-melt,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,SNIP,SpectraBase,10.1918/70582521,0.812,0.917,0.699,0.937,0.841,ACCEPT,
SPEC-00449,Polyester hot-melt,25038-59-9,Hot-melt,Raman,200-3500 cm-1,"23C, dry air",Renishaw inVia,Polynomial (3rd order),Open SPECY,10.4924/1fb9f654,0.908,0.756,0.72,0.705,0.792,ACCEPT,
SPEC-00138,Methyl methacrylate,80-62-6,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,ALS,SpectraBase,10.1461/37398f81,0.789,0.75,0.724,0.633,0.735,FLAG,
SPEC-00345,Polyisoprene,9003-31-0,Rubber-based,Raman,200-3500 cm-1,"25C, N2 purge",Renishaw inVia,Rubberband,Open SPECY,10.1313/48c519ff,0.999,0.796,0.888,0.666,0.859,ACCEPT,
SPEC-00838,Octyl cyanoacrylate,16493-40-6,Cyanoacrylate,Raman,200-3500 cm-1,"23C, dry air",Horiba LabRAM HR,Rubberband,PubChem,10.3013/c3a82d31,0.955,0.761,0.926,0.97,0.904,ACCEPT,
SPEC-00579,Epichlorohydrin,106-89-8,Epoxy,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,SNIP,SpectraBase,10.3344/c771ca4b,0.796,0.923,0.898,0.877,0.864,ACCEPT,
SPEC-00910,Toluene diisocyanate,26471-62-5,Polyurethane,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Thermo DXR3,SNIP,SpectraBase,10.1193/934ff6b1,0.809,0.858,0.731,0.89,0.822,ACCEPT,
SPEC-00208,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,SNIP,SpectraBase,10.6411/b0238513,0.989,0.823,0.61,0.697,0.813,ACCEPT,
SPEC-00505,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,FTIR,650-4000 cm-1,"23C, dry air",Agilent Cary 630,Polynomial (3rd order),Open SPECY,10.2477/ac3aad6a,0.713,0.836,0.871,0.681,0.769,ACCEPT,
SPEC-00469,Ethylene-vinyl acetate,24937-78-8,Hot-melt,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,Rubberband,SDBS,10.7313/85c06e3f,0.981,0.984,0.594,0.89,0.886,ACCEPT,
SPEC-00668,Octamethylcyclotetrasiloxane,556-67-2,Silicone,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Thermo Nicolet iS50,ALS,KnowItAll,10.6140/03e32d41,0.805,0.856,0.551,0.68,0.742,FLAG,
SPEC-00052,Ethyl acrylate,140-88-5,Acrylic/PSA,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Rubberband,SpectraBase,10.4266/7576154f,0.878,0.912,0.843,0.902,0.884,ACCEPT,
SPEC-00273,Natural rubber,9006-04-6,Rubber-based,IR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,Rubberband,KnowItAll,10.3735/2c291137,0.824,0.739,0.783,0.929,0.816,ACCEPT,
SPEC-00837,Butyl cyanoacrylate,6606-65-1,Cyanoacrylate,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,ALS,PubChem,10.6833/33f62759,0.936,0.976,0.849,0.751,0.892,ACCEPT,
